Mu,T2,m,t2w,se,Nmax,hack,rho,k,k.hacked,methName,MhatCorr,MhatLoCorr,MhatHiCorr,MhatCoverCorr,VhatCorr,kNonaffirmPub,kNonaffirmPubUnhacked,kNonaffirmPubHacked,TheoryExpTstat,MeanTstat,MeanTstatUnhacked,MeanTstatHacked,TheoryVarTstat,EstVarTstat,EstVarTstatUnhacked,EstVarTstatHacked,TheoryExpTstatMarg,tstatMeanMLE,tstatMeanMLELo,tstatMeanMLEHi,tstatMeanMLECover,Mean.yi,Mean.yi.Unhacked,Mean.yi.Hacked,Mean.vi,Mean.vi.Unhacked,Mean.vi.Hacked,dp.k,dp.kAffirm,dp.kNonaffirm,dp.Nrealized,doParallelTime
0.1,0,500,0,0.5,1,affirm2,0,800,0,,0.1,0.06,0.14,0.95,0,768.86,768.86,0,0.11,0.11,0.11,,0.84,0.84,0.84,,0.2,0.2,0.12,0.28,0.95,0.06,0.06,,0.25,0.25,,800,31.14,768.86,1,2.16
0.1,0,500,0,0.5,1,affirm2,0,1600,800,,0.1,0.07,0.13,0.94,0,1537.03,768.42,768.62,0.11,0.11,0.11,0.11,0.84,0.84,0.84,0.84,0.2,0.2,0.14,0.26,0.94,0.05,0.05,0.06,0.25,0.25,0.25,1600,62.97,1537.03,1,4
0.1,0,500,0,0.5,10,affirm2,0,800,0,,0.1,0.06,0.14,0.97,0,768.83,768.83,0,0.11,0.11,0.11,,0.84,0.84,0.84,,0.2,0.2,0.12,0.29,0.97,0.06,0.06,,0.25,0.25,,800,31.17,768.83,10,11.87
0.1,0,500,0,0.5,10,affirm2,0,1600,800,,0.1,0.07,0.13,0.95,0,1304.3,768.54,535.76,0.11,0.11,0.11,0.11,0.84,0.84,0.84,0.84,0.2,0.2,0.14,0.26,0.95,0.06,0.06,0.06,0.25,0.25,0.25,1600,295.7,1304.3,9.2,27.18
0.1,0,500,0,0.5,10,affirm2,0.9,800,0,,0.1,0.06,0.14,0.96,0,768.6,768.6,0,0.11,0.11,0.11,,0.84,0.84,0.84,,0.2,0.2,0.12,0.29,0.96,0.06,0.06,,0.25,0.25,,800,31.4,768.6,10,11.1
0.1,0,500,0,0.5,10,affirm2,0.9,1600,800,,0.1,0.07,0.13,0.94,0,1305.9,768.78,537.12,0.11,0.11,0.11,0.11,0.84,0.84,0.84,0.84,0.2,0.2,0.13,0.26,0.94,0.06,0.06,0.05,0.25,0.25,0.25,1600,294.1,1305.9,9.21,26.32
0.1,0,500,0.25,0.5,1,affirm2,0,800,0,,0.1,0.02,0.18,0.96,0.25,714.36,714.36,0,-0.09,-0.09,-0.09,,1.4,1.41,1.41,,0.2,0.2,0.05,0.36,0.96,-0.05,-0.05,,0.25,0.25,,800,85.64,714.36,1,1.92
0.1,0,500,0.25,0.5,1,affirm2,0,1600,800,,0.1,0.05,0.16,0.96,0.25,1429.85,714.67,715.18,-0.09,-0.09,-0.09,-0.09,1.4,1.41,1.41,1.41,0.2,0.2,0.09,0.31,0.96,-0.05,-0.04,-0.05,0.25,0.25,0.25,1600,170.15,1429.85,1,4.05
0.1,0,500,0.25,0.5,10,affirm2,0,800,0,,0.1,0.03,0.18,0.96,0.26,715.38,715.38,0,-0.09,-0.09,-0.09,,1.4,1.41,1.41,,0.2,0.21,0.05,0.37,0.96,-0.04,-0.04,,0.25,0.25,,800,84.62,715.38,10,10.94
0.1,0,500,0.25,0.5,10,affirm2,0,1600,800,,0.1,0.03,0.17,0.95,0.25,974.59,715.15,259.43,-0.09,-0.09,-0.1,-0.08,1.4,1.41,1.41,1.41,0.2,0.2,0.07,0.34,0.95,-0.05,-0.05,-0.04,0.25,0.25,0.25,1600,625.41,974.59,8.17,23.69
0.1,0,500,0.25,0.5,10,affirm2,0.9,800,0,,0.1,0.02,0.18,0.95,0.25,714.88,714.88,0,-0.09,-0.1,-0.1,,1.4,1.41,1.41,,0.2,0.2,0.04,0.36,0.95,-0.05,-0.05,,0.25,0.25,,800,85.12,714.88,10,11.38
0.1,0,500,0.25,0.5,10,affirm2,0.9,1600,800,,0.03,-0.03,0.08,0.31,0.24,1124.51,714.34,410.17,-0.09,-0.19,-0.09,-0.36,1.4,1.44,1.41,1.45,0.2,0.05,-0.06,0.16,0.31,-0.09,-0.05,-0.18,0.25,0.25,0.25,1600,475.49,1124.51,8.6,22.5
0.1,0.25,500,0,0.5,1,affirm2,0,800,0,,0.1,0.02,0.18,0.94,0.25,714.72,714.72,0,-0.09,-0.09,-0.09,,1.4,1.41,1.41,,0.2,0.2,0.05,0.36,0.94,-0.05,-0.05,,0.25,0.25,,800,85.28,714.72,1,1.97
0.1,0.25,500,0,0.5,1,affirm2,0,1600,800,,0.1,0.04,0.15,0.96,0.25,1429.81,714.37,715.44,-0.09,-0.09,-0.09,-0.09,1.4,1.41,1.41,1.41,0.2,0.2,0.09,0.31,0.96,-0.05,-0.05,-0.04,0.25,0.25,0.25,1600,170.19,1429.81,1,4.42
0.1,0.25,500,0,0.5,10,affirm2,0,800,0,,0.1,0.02,0.18,0.94,0.25,714.77,714.77,0,-0.09,-0.09,-0.09,,1.4,1.41,1.41,,0.2,0.21,0.05,0.37,0.94,-0.04,-0.04,,0.25,0.25,,800,85.23,714.77,10,10.86
0.1,0.25,500,0,0.5,10,affirm2,0,1600,800,,-0.01,-0.06,0.04,0.03,0.22,1179.36,715.66,463.71,-0.09,-0.23,-0.09,-0.44,1.4,1.42,1.4,1.37,0.2,-0.02,-0.13,0.08,0.03,-0.11,-0.05,-0.22,0.25,0.25,0.25,1600,420.64,1179.36,8.71,23.12
0.1,0.25,500,0,0.5,10,affirm2,0.9,800,0,,0.1,0.02,0.18,0.94,0.25,714.67,714.67,0,-0.09,-0.09,-0.09,,1.4,1.41,1.41,,0.2,0.2,0.04,0.36,0.94,-0.05,-0.05,,0.25,0.25,,800,85.33,714.67,10,11.02
0.1,0.25,500,0,0.5,10,affirm2,0.9,1600,800,,-0.01,-0.06,0.04,0.02,0.22,1179.14,714.98,464.17,-0.09,-0.23,-0.1,-0.44,1.4,1.43,1.41,1.37,0.2,-0.03,-0.13,0.08,0.02,-0.12,-0.05,-0.22,0.25,0.25,0.25,1600,420.86,1179.14,8.71,23.27
0.1,0.25,500,0.25,0.5,1,affirm2,0,800,0,,0.1,-0.01,0.22,0.94,0.5,676.71,676.71,0,-0.29,-0.29,-0.29,,1.91,1.91,1.91,,0.2,0.21,-0.03,0.44,0.94,-0.14,-0.14,,0.25,0.25,,800,123.29,676.71,1,2
0.1,0.25,500,0.25,0.5,1,affirm2,0,1600,800,,0.1,0.02,0.18,0.95,0.5,1353.43,676.83,676.6,-0.29,-0.29,-0.28,-0.29,1.91,1.91,1.91,1.92,0.2,0.2,0.04,0.37,0.95,-0.14,-0.14,-0.15,0.25,0.25,0.25,1600,246.57,1353.43,1,3.79
0.1,0.25,500,0.25,0.5,10,affirm2,0,800,0,,0.11,-0.01,0.22,0.96,0.51,676.35,676.35,0,-0.29,-0.29,-0.29,,1.91,1.91,1.91,,0.2,0.21,-0.03,0.45,0.96,-0.14,-0.14,,0.25,0.25,,800,123.65,676.35,10,10.99
0.1,0.25,500,0.25,0.5,10,affirm2,0,1600,800,,-0.01,-0.1,0.07,0.3,0.49,979.81,675.47,304.34,-0.29,-0.43,-0.28,-0.74,1.91,1.99,1.9,2.04,0.2,-0.03,-0.2,0.15,0.3,-0.21,-0.14,-0.37,0.25,0.25,0.25,1600,620.19,979.81,8.08,21.47
0.1,0.25,500,0.25,0.5,10,affirm2,0.9,800,0,,0.1,-0.02,0.22,0.94,0.51,676.33,676.33,0,-0.29,-0.29,-0.29,,1.91,1.92,1.92,,0.2,0.2,-0.03,0.44,0.94,-0.15,-0.15,,0.25,0.25,,800,123.67,676.33,10,11.14
0.1,0.25,500,0.25,0.5,10,affirm2,0.9,1600,800,,-0.06,-0.13,0.02,0.04,0.44,1082.89,677.29,405.6,-0.29,-0.46,-0.29,-0.75,1.91,1.95,1.9,1.9,0.2,-0.12,-0.27,0.03,0.04,-0.23,-0.14,-0.37,0.25,0.25,0.25,1600,517.11,1082.89,8.43,23.54
